Functions Definition
Function: global.main
Lexeme, Type, Token, LineNo, Size
a1, int, NAME, 4, 8
a10, int, NAME, 16, 8
a2, int, NAME, 5, 8
a3, int, NAME, 6, 8
a4, int, NAME, 7, 8
a5, int, NAME, 8, 8
a6, int, NAME, 9, 8
a7, int, NAME, 10, 8
a8, int, NAME, 11, 8
a9, int, NAME, 12, 8



Function: print@bool
Lexeme, Type, Token, LineNo, Size



Function: print@float
Lexeme, Type, Token, LineNo, Size



Function: print@int
Lexeme, Type, Token, LineNo, Size



Function: print@str
Lexeme, Type, Token, LineNo, Size



